generic id,generic name,slug,drug class,indication
31,Adalimumab,adalimumab-31,Immunosuppressant,Ulcerative colitis
10,Acyclovir + Hydrocortisone,acyclovir-hydrocortisone-10,Hydrocortisone & Combined preparations,Herpes labialis
9,Acyclovir (Topical),acyclovir-topical-9,Topical Antiviral preparations,Sore lips
12,Acyclovir (Oral),acyclovir-oral-12,Herpes simplex & Varicella-zoster virus infections,Varicella zoster (chickenpox)
13,Acyclovir (Ophthalmic),acyclovir-ophthalmic-13,Ophthalmic Anti-viral Products,Neonatal Conjunctivitis
7,Acyclovir (Injection),acyclovir-injection-7,Herpes simplex & Varicella-zoster virus infections,Varicella zoster (chickenpox)
22,Activated Charcoal,activated-charcoal-22,Antidote preparations,Poisoning due to foods; heavy meals & drugs
2060,Aclidinium Bromide + Formoterol Fumarate,aclidinium-bromide-formoterol-fumarate-2060,Combined bronchodilators,
25,Acitretin,acitretin-25,Oral Retinoid preparations,Scaly skin disease
177,Acidic component [HCO3 Hemodialysis Solution],acidic-component-hco3-hemodialysis-solution-177,Haemodialysis solutions,Haemodialysis
6,Acetylcysteine,acetylcysteine-6,Antidote preparations,Tuberculosis
26,Acetazolamide,acetazolamide-26,Carbonic anhydrase inhibitor,Tumor lysis syndrome
184,Acetate Formulation [Hemodialysis Solution],acetate-formulation-hemodialysis-solution-184,Haemodialysis solutions,Haemodialysis
21,Acemetacin,acemetacin-21,Non-steroidal Anti-inflammatory Drugs (NSAIDs),Spondylitis
3,Aceclofenac,aceclofenac-3,Drugs for Osteoarthritis,Spondylitis
1723,Bandish [Oak Galls; Tannic acid],bandish-oak-galls-tannic-acid-1723,Herbal and Nutraceuticals,Menorrhagia
1619,Balarista,balarista-1619,Herbal and Nutraceuticals,Painful muscle spasm
1524,Bacopa extract [Natural memory enhancer],bacopa-extract-natural-memory-enhancer-1524,Herbal and Nutraceuticals,Epilepsy
1519,Aushokarist [Saraca Indica],aushokarist-saraca-indica-1519,Herbal and Nutraceuticals,Polycystic ovarian syndrome
1758,Aswagandharista,aswagandharista-1758,Herbal and Nutraceuticals,Libido
1757,Ashokarista,ashokarista-1757,Herbal and Nutraceuticals,Uterine bleeding
1744,Arjunarista,arjunarista-1744,Herbal and Nutraceuticals,Asthma
1745,Aravindasav,aravindasav-1745,Herbal and Nutraceuticals,Malnutrition
1695,Antacid [Unani],antacid-unani-1695,Herbal and Nutraceuticals,Peptic ulcer disease
1719,Aniseed + Indian dill + Black cardamom + Peppermint,aniseed-indian-dill-black-cardamom-peppermint-1719,Herbal and Nutraceuticals,Indigestion
1523,Andrographis paniculata,andrographis-paniculata-1523,Herbal and Nutraceuticals,Sinusitis
1737,Ambergris + Salep + Galangal,ambergris-salep-galangal-1737,Herbal and Nutraceuticals,To develop immune system
1699,Ambar Momiyaee,ambar-momiyaee-1699,Herbal and Nutraceuticals,Erectile dysfunction
1743,Amalaki Rasayana,amalaki-rasayana-1743,Herbal and Nutraceuticals,Hyperacidity
1742,Aloe indica+ Hyoscyamus niger + Piper nigrum,aloe-indica-hyoscyamus-niger-piper-nigrum-1742,Herbal and Nutraceuticals,Piles
17,Allopurinol,allopurinol-17,Drugs used in Gout,Uric acid nephropathy
2031,Allium cepa + Heparin + Allantoin,allium-cepa-heparin-allantoin-2031,,
41,Alfuzosin Hydrochloride,alfuzosin-hydrochloride-41,BPH/ Urinary retention/ Urinary incontinence,Benign prostatic hyperplasia (BPH)
40,Alfacalcidol,alfacalcidol-40,Vitamin in bone formation,Rickets
37,Alendronic Acid + Vitamin D3,alendronic-acid-vitamin-d3-37,Combined preparations: Inhibiting bone resorption,Post-menopausal osteoporosis
30,Alendronic acid,alendronic-acid-30,Bisphosphonate preparations,Post-menopausal osteoporosis
1501,Alectinib,alectinib-1501,Protein kinase inhibitor,Metastatic non-small cell lung cancer
29,Alcaftadine,alcaftadine-29,Ophthalmic Anti-allergic preparations,Prevention of itching associated with allergic conjunctivitis
545,Albumin (Human),albumin-human-545,Plasma expanders,Hypoproteinaemia
16,Albendazole,albendazole-16,Anthelmintic,Worm infections
